Category,Image Number,Original Filename,Android Resource ID,Dimensions,File Format,Usage,Priority,Phase,Screen(s)
Chakras,7,chakra_crown_sahasrara_512.webp,chakra_crown,512x512,WebP,Crown chakra visualization,HIGH,2,ProfileDetail/Compatibility
Moon Phases,1,moon_new_512.webp,moon_new,512x512,WebP,New moon phase,HIGH,2,Home/MoonCalendar
Moon Phases,2,moon_waxing_crescent_512.webp,moon_waxing_crescent,512x512,WebP,Waxing crescent,HIGH,2,Home/MoonCalendar
Moon Phases,3,moon_first_quarter_512.webp,moon_first_quarter,512x512,WebP,First quarter,HIGH,2,Home/MoonCalendar
Moon Phases,4,moon_waxing_gibbous_512.webp,moon_waxing_gibbous,512x512,WebP,Waxing gibbous,HIGH,2,Home/MoonCalendar
Moon Phases,5,moon_full_512.webp,moon_full,512x512,WebP,Full moon,HIGH,2,Home/MoonCalendar
Moon Phases,6,moon_waning_gibbous_512.webp,moon_waning_gibbous,512x512,WebP,Waning gibbous,HIGH,2,Home/MoonCalendar
Moon Phases,7,moon_last_quarter_512.webp,moon_last_quarter,512x512,WebP,Last quarter,HIGH,2,Home/MoonCalendar
Moon Phases,8,moon_waning_crescent_512.webp,moon_waning_crescent,512x512,WebP,Waning crescent,HIGH,2,Home/MoonCalendar
Elements,1,element_fire_512.webp,element_fire,512x512,WebP,Fire element symbol,MEDIUM,2,ProfileDetail/Compatibility
Elements,2,element_water_512.webp,element_water,512x512,WebP,Water element symbol,MEDIUM,2,ProfileDetail/Compatibility
Elements,3,element_earth_512.webp,element_earth,512x512,WebP,Earth element symbol,MEDIUM,2,ProfileDetail/Compatibility
Elements,4,element_air_512.webp,element_air,512x512,WebP,Air element symbol,MEDIUM,2,ProfileDetail/Compatibility
Elements,5,element_ether_512.webp,element_ether,512x512,WebP,Ether/Spirit element,MEDIUM,2,ProfileDetail/Compatibility
Sacred Geometry,1,geometry_flower_of_life_1024.webp,geometry_flower_of_life,1024x1024,WebP,Background layer,MEDIUM,3,CompatibilityDetail
Sacred Geometry,2,geometry_metatrons_cube_1024.webp,geometry_metatrons_cube,1024x1024,WebP,Background layer,MEDIUM,3,ProfileCreation
Sacred Geometry,3,geometry_sri_yantra_1024.webp,geometry_sri_yantra,1024x1024,WebP,Tantric sections,MEDIUM,3,Tantric
Sacred Geometry,4,geometry_seed_of_life_1024.webp,geometry_seed_of_life,1024x1024,WebP,Loading transitions,MEDIUM,3,Loading
Sacred Geometry,5,geometry_vesica_piscis_1024.webp,geometry_vesica_piscis,1024x1024,WebP,Connection indicators,MEDIUM,3,Compatibility
Sacred Geometry,6,geometry_golden_spiral_1024.webp,geometry_golden_spiral,1024x1024,WebP,Decorative element,MEDIUM,3,ProfileDetail
Sacred Geometry,7,geometry_merkaba_1024.webp,geometry_merkaba,1024x1024,WebP,Human Design background,MEDIUM,3,HumanDesign
Sacred Geometry,8,geometry_torus_field_1024.webp,geometry_torus_field,1024x1024,WebP,Energy flow visualization,MEDIUM,3,Various
UI Elements,1,button_primary_normal_800x200.webp,btn_primary,800x200,WebP,Primary action button,HIGH,2,All
UI Elements,2,button_primary_pressed_800x200.webp,btn_primary_pressed,800x200,WebP,Pressed state,HIGH,2,All
UI Elements,3,button_secondary_outline_800x200.webp,btn_secondary,800x200,WebP,Secondary button,HIGH,2,All
UI Elements,4,card_glassmorphic_1000x600.webp,card_glass,1000x600,WebP,Card background,MEDIUM,3,Various
UI Elements,5,loading_circular_256.webp,loading_circular,256x256,WebP,Circular progress,HIGH,2,Loading states
UI Elements,6,loading_linear_800x80.webp,loading_linear,800x80,WebP,Linear progress bar,HIGH,2,Loading states
UI Elements,7,empty_no_profiles_800.webp,empty_no_profiles,800x800,WebP,Empty profile state,HIGH,2,ProfileLibrary
UI Elements,8,empty_no_results_800.webp,empty_no_results,800x800,WebP,Empty results state,HIGH,2,Search/Filter
UI Elements,9,success_checkmark_256.webp,ic_success,256x256,WebP,Success icon,HIGH,2,Success states
UI Elements,10,error_warning_256.webp,ic_error,256x256,WebP,Error icon,HIGH,2,Error states
UI Elements,11,info_tooltip_128.webp,ic_info,128x128,WebP,Info icon,MEDIUM,3,Tooltips
UI Elements,12,dropdown_chevron_128.webp,ic_dropdown,128x128,WebP,Dropdown arrow,MEDIUM,3,Dropdowns
Spiritual Symbols,1,symbol_om_512.webp,symbol_om,512x512,WebP,Om/Aum symbol,MEDIUM,3,Meditation/Spiritual
Spiritual Symbols,2,symbol_lotus_512.webp,symbol_lotus,512x512,WebP,Lotus flower,MEDIUM,3,Enlightenment sections
Spiritual Symbols,3,symbol_hamsa_512.webp,symbol_hamsa,512x512,WebP,Hamsa hand,MEDIUM,3,Protection sections
Spiritual Symbols,4,symbol_tree_of_life_512.webp,symbol_tree_of_life,512x512,WebP,Tree of life,MEDIUM,3,Connection sections
Spiritual Symbols,5,symbol_ankh_512.webp,symbol_ankh,512x512,WebP,Ankh symbol,MEDIUM,3,Life force sections
Spiritual Symbols,6,symbol_yin_yang_512.webp,symbol_yin_yang,512x512,WebP,Yin yang,MEDIUM,3,Balance sections
Spiritual Symbols,7,symbol_mandala_1024.webp,symbol_mandala,1024x1024,WebP,Meditation mandala,MEDIUM,3,Meditation
Spiritual Symbols,8,symbol_infinity_512.webp,symbol_infinity,512x512,WebP,Infinity symbol,MEDIUM,3,Eternal sections
Onboarding,1,onboarding_welcome_1080.webp,onboarding_welcome,1080x1080,WebP,Welcome screen,MEDIUM,3,Onboarding
Onboarding,2,onboarding_profile_creation_1080.webp,onboarding_profile,1080x1080,WebP,Profile feature,MEDIUM,3,Onboarding
Onboarding,3,onboarding_insights_1080.webp,onboarding_insights,1080x1080,WebP,Insights feature,MEDIUM,3,Onboarding
Onboarding,4,onboarding_compatibility_1080.webp,onboarding_compatibility,1080x1080,WebP,Compatibility feature,MEDIUM,3,Onboarding
Onboarding,5,onboarding_guidance_1080.webp,onboarding_guidance,1080x1080,WebP,Guidance feature,MEDIUM,3,Onboarding
Onboarding,6,onboarding_ready_1080.webp,onboarding_ready,1080x1080,WebP,Ready to begin,MEDIUM,3,Onboarding
